Name	Nickname	RA	DEC	Field	CCD	ref.epoch	ipix	jpix
							
SNHiTS14A	Elise	10:01:36.977	02:44:40.842	04	S23	02	1682	1588
SNHiTS14B	Bel	10:23:12.30	-6:36:03.98	10	N6	02	2809	986
SNHiTS14C	Greta	11:11:15.99	 0:53:00.15	30	S31	02	213	1309
SNHiTS14D	Emilia	11:34:31.98	 1:08:32.69	37	N30	02	1188	1705
SNHiTS14E	Kora	10:10:03.145	-1:34:49.034	01	S23	03	2220	1828
SNHiTS14F	Mara	10:17:33.68	-2:29:09.88	07	N17	02	849	722
SNHiTS14G	Dana	10:13:43.23	-4:53:00.71	08	N28	02	275	353
SNHiTS14H	Pamela	10:40:17.25	-1:49:13.68	16	S13	02	3794	596
SNHiTS14I	Laura	11:01:32.79	-0:56:11.55	27	N31	02	108	1466
SNHiTS14J	Isabel	11:26:27.66	-0:14:57.82	38	N8	02	854	1061
SNHiTS14K	Luzmira	10:12:04.89	-1:43:32.79	01	S19	03	2785	1564
SNHiTS14L	Consuelo	09:56:50.17	-2:06:21.65	02	N1	02	2817	0033
SNHiTS14M	Mayuyis	09:58:41.18	-2:50:44.22	02	N25	02	2780	1157
SNHiTS14N	Pilar	10:01:12.57	-0:25:25.04	03	N24	02	1799	981
SNHiTS14O	Isadora	10:08:45.49	-0:03:43.70	06	N1	02	2079	753
SNHiTS14P	Magali	10:15:26.31	-1:38:49.84	07	S15	02	2089	515
SNHiTS14Q	Mayerly	10:21:34.43	-4:58:24.20	09	N4	02	1021	201
SNHiTS14R	Berta	10:20:53.79	-5:01:45.59	09	N3	02	2961	973
SNHiTS14S	Manuela	10:30:10.68	-8:41:43.85	13	S2	02	1702	716
SNHiTS14T	Valentina	10:35:32.15	-8:39:33.99	13	S6	02	2801	208
SNHiTS14U	Erin	10:38:34.25	-5:38:42.81	14	S24	02	285	88
SNHiTS14V	Fanny	10:57:19.61	 2:11:20.69	21	S5	02	2177	868
SNHiTS14W	Carolina	10:57:45.23	 1:42:38.84	21	N18	02	1521	653
SNHiTS14X	Alejandra	10:48:30.58	 0:11:55.36	22	S8	02	3487	1677
SNHiTS14Y	Silvia	10:51:58.48	-0:43:30.18	22	N27	02	2599	803
SNHiTS14Z	Bruna	10:57:00.31	-1:12:12.38	23	S31	02	1097	1170
SNHiTS14aa	Lorena	10:52:50.03	-4:22:31.23	24	N18	02	1521	653
SNHiTS14ab	Maria Helena	11:01:07.79	-4:19:16.91	25	N4	02	2829	1649
SNHiTS14ac	Liliana	11:03:02.71	-4:44:12.62	25	N24	02	865	590
SNHiTS14ad	Nala	11:06:33.09	-2:17:54.61	26	N11	02	2745	389
SNHiTS14ae	Odina	11:13:36.23	-3:33:11.62	30	N24	02	3980	717
SNHiTS14af	Florinda	11:17:37.56	-4:06:59.81	33	S2	02	1384	1124
SNHiTS14ag	Karina	11:25:52.16	-1:42:30.44	34	S17	02	2533	1342
SNHiTS14ah	Sherry	11:21:04.48	2:08:50.44	36	S1	02	968	1446
